id,purpose,building_nature,building_type,division,city,zone,locality,address,price,area,num_bed_rooms,num_bath_rooms,relaxation_amenity_count,security_amenity_count,maintenance_or_cleaning_amenity_count,social_amenity_count,expendable_amenity_count,service_staff_amenity_count,unclassify_amenity_count,property_description,property_overview
bproperty-0,Sale,Residential,Apartment,Dhaka,Dhaka,Khilgaon,Khilgaon,\N,6100000.0,1185.0,3,3,0,1,2,0,2,0,3,Grab This 1185 Sq Ft Beautiful Flat Is Vacant For Sale In Khilgaon,"This flat consists of facilities you can think of for a proper living standards. The amazing floor plan of this flat ensures the buyer decision even more rightful for what they are pursuing for. The washroom comes with all the up-to-date fixtures. For your delish cooking essentials, you are getting a convenient kitchen having a nice kitchen counter. You would also have refreshing balconies to spend some good family times in your morning and evening hours with your family. There are plenty of places nearby so going for recreational activities outside is an easy option to pick as well. Make yourself a happy buyer by calling us about this beautiful apartment right away!"
bproperty-1,Sale,Residential,Apartment,Dhaka,Dhaka,Dhanmondi,Dhanmondi,\N,2952000.0,2464.0,3,4,0,2,0,0,3,0,4,A Vibrant 2464 Sq Ft Residential Flat For Sale In Shukrabad,Ready to move in somewhere with everything nearby? This apartment bears all the necessary facilities that you look for in a flat and more. There are many facilities in the flat that are required to live at ease. Utility supplies are always available and security services are present at all times for ensuring the safety of the inhabitants. The washroom and kitchen come with all the modern fixtures.  The flat is well secured with the availability of all types of utilities.  Don’t miss this remunerative offer and we are just a call away to close the deal for you!
bproperty-2,Sale,Residential,Apartment,Dhaka,Dhaka,Mirpur,Mirpur,"Block Ta, Section 6",7500000.0,1140.0,3,3,0,2,2,0,2,0,4,"1140 Sq Ft Nicely Planned Apartment Is Available For Sale In Section 6, Mirpur","A spacious 1140  Square Feet apartment in Mirpur is ready to be your perfect home. There are 3 beds and 3 baths in this apartment. The apartment features spacious balconies where you can spend peaceful time with your family. In this apartment you will get separate spaces for drawing and dining area. And the unique design of the tile is a prominent feature of the interior of the apartment. There are multiple big windows for you to get enough natural light and air inside the house. The apartment is well secured with all time security guard, Gas, water and electricity are also available here. In addition, all of your everyday essentials, such as markets, shops, restaurants, and hospitals, are conveniently located in the area. Contact us if you are interested in making this apartment your home."
bproperty-3,Sale,Residential,Apartment,Dhaka,Dhaka,Bashundhara R/A,Bashundhara R-A,Block J,20000000.0,1920.0,3,3,0,1,2,0,3,0,3,"A Modern Well-planned Apartment Of 1920 Sq Ft Is Up For Sale Is Situated In Block J, Bashundhara R/A","Looking for the perfect home that offers a luxurious lifestyle with all the necessary amenities? Look no further than this stunning 1,920 sqft 3 bedroom, 3 bathroom apartment located in the heart of Bashundhara R/A. Apart from the amazing features and facilities of the apartment, the location is also a major attraction. The area boasts of a plethora of educational institutions, healthcare facilities, and shopping malls that cater to all your needs. For families with children, the area is surrounded by some of the best educational institutions in Dhaka, including North South University, Independent University, Bangladesh, and American International University Bangladesh. These institutions are well-known for their exceptional academic standards and have produced some of the brightest minds in the country. The healthcare facilities in the area are also top-notch, with many renowned hospitals and clinics in close proximity. You'll never have to worry about getting quality healthcare in times of need. Some of the notable hospitals in the area include Evercare Hospital. When it comes to shopping, Bashundhara R/A is a shopper's paradise. The area boasts of several shopping malls, including Jamuna Future Park. These malls offer a wide range of shopping options, from high-end luxury brands to affordable local shops. Lastly, the connectivity of the area is excellent, with easy access to major roads and highways. This ensures that you can easily commute to any part of the city without any hassle. So, what are you waiting for? Don't miss out on this opportunity to live in one of the best areas of Dhaka. Book a visit today and experience the luxurious lifestyle that Bashundhara R/A has to offer!"
bproperty-4,Sale,Residential,Apartment,Dhaka,Dhaka,Khilgaon,Banasree,"Block M, South Banasree Project",10800000.0,1445.0,3,3,0,0,2,0,1,0,4,"1445 Sq Ft Ready Flat For Sale In Banasree, With Splendid Features And Price","Choosing a new home can be an overwhelming experience as it involves a lot of decision making and most importantly finding the most suitable location. If you are thinking of getting an apartment in the suitable location of Banasree then we are here to assist your decision as this flat can be a perfect home for your family. The location has a wide variety of schools, colleges, hospitals and shops. You do not have to worry about providing good education to your children while settling in the location.  Contact us at your earliest to know more about this apartment."
bproperty-5,Sale,Residential,Apartment,Dhaka,Dhaka,Khilgaon,Khilgaon,\N,5000000.0,925.0,2,3,0,1,2,0,2,0,3,Deal With This 925 Sq Ft Ready Flat For Sale In South Goran,"Choosing a new home can be an overwhelming experience as it involves a lot of decision making and most importantly finding the most suitable location. If you are thinking of getting an apartment of 925  Square Feet in the suitable location of Khilgaon then we are here to assist your decision as this flat can be a perfect home for your family. This apartment has 2 beds and 2 baths. As soon as you enter through the main door, you will find a nice and open drawing cum dining room. The location has a wide variety of schools, colleges, hospitals and shops. You do not have to worry about providing good education to your children while settling in the location.  Contact us at your earliest to know more about this apartment."
bproperty-6,Sale,Residential,Apartment,Dhaka,Dhaka,Banani,Banani,\N,803750.0,2468.0,3,3,0,2,2,0,4,0,4,Tastefully Designed This 2468 Sq Ft Flat Is Now Vacant For Sale In Banani,"Looking for an apartment on a budget? Then this 2468  Square Feet apartment in Banani is the perfect fit for you. This beautiful 3 beds and 3 baths apartment is quite open and lively. The significant feature of this apartment is the open hallway just as you enter the apartment. The spacious living room and dining space will be perfect for hosting a house party for your loved ones. The kitchen and bathrooms feature all the modern fittings. That’s why you can secure a safe future for your family by investing in this apartment. All the daily essentials like schools, hospitals, markets, shops, shopping malls, you will find everything within a close proximity of this apartment. Apart from that, you are getting 24/7 security, electricity, water and gas as well. So, if you want to enjoy life to the fullest with your family in this apartment then contact us today!"
bproperty-7,Sale,Residential,Apartment,Dhaka,Dhaka,Uttara,Uttara,Sector 10,10500000.0,1475.0,3,3,0,2,3,0,3,0,4,"At Uttara, A 1475 Sq Ft Well Fitted Residential Property Is For Sale","End the disparity of wanting a suitable home, to meet your homely demands being in a limited budget. Evaluate this cost efficient 1475  Square Feet flat right in Uttara, with decent 3 beds and nicely planned 3 baths, aligning with your need of wanting a modest home at the cheapest rate. The well-planned kitchen area is located right next to the spacious drawing-dining space. However, this flat has a nice balcony. The house has the best quality fittings for guaranteeing healthy hygiene. Want to know more about this flat? Just give us a call or contact us!"
bproperty-8,Sale,Residential,Apartment,Dhaka,Dhaka,Sutrapur,Sutrapur,Narinda,8000000.0,1066.0,3,2,0,1,2,1,4,0,4,"Attention! A 1066 Sq. Ft Flat Is Up For Sale At Narinda, This Is What You’ve Been Searching For As Your New Home!","So you are looking for a cozy abode? We will help you out. Take a good look at this wonderful abode that is very homely. There are three bedrooms and two washrooms within the abode. When you enter the flat, you will see that there is a space that can be used as the dining and drawing area. One of the bedrooms has a washroom attached to it. You will be able to reside in the kind of comfort that you seek. Property Features:North facedCovered Area: 8.8Number of Floors: 12Maintenance StaffDedicated Security Guard Cleaning ServicesNearby Amenities: Dholaikhal Jame Masjid, Tipu Sultan Road Jaame MasjidSo we recommend to make up your mind straight away and give us a call to know more about this home."
bproperty-9,Sale,Residential,Apartment,Dhaka,Dhaka,Mirpur,Mirpur,\N,5000000.0,950.0,2,2,0,1,2,0,5,0,3,Here Is A Cozy And Nice Flat Of 950 Sq Ft Waiting For Sale At Middle Monipur,"Introducing a stunning residential apartment located in the heart of Mirpur, offering a luxurious and comfortable living experience. The apartment boasts a generous 950 sqft size, with 2 bedrooms, 2 bathrooms, a balcony, a dining room, and a kitchen, providing ample space for relaxation and entertainment. What truly sets this apartment apart is its prime location in Mirpur, which offers a plethora of area amenities. For families with children, the apartment is surrounded by excellent educational institutions, including Military Institute of Science and Technology (MIST), Adamjee Cantonment College, Government Bangla College and Bangladesh University of Business and Technology (BUBT). In terms of healthcare, there are several renowned hospitals and clinics in the vicinity, such as the National Heart Foundation Hospital & Research Institute, Popular Diagnostic Center, Ibn Sina Hospital, and Islami Bank Hospital. This provides residents with easy access to quality medical care in times of need. For those who enjoy shopping and entertainment, there are several shopping malls and markets located within a short distance, including Mirpur Shopping Center, Shah Ali Plaza, and Mirpur Benaroshi Polli. Residents can enjoy shopping, dining, and entertainment at these bustling destinations. Lastly, connectivity is excellent in this area, with easy access to major highways, public transportation, Metro and important landmarks. The apartment is located just a short distance from Dhaka-Mymensingh Road, Dhaka-Aricha Road which connects it to other parts of Dhaka. There are also multiple bus stops and railway stations nearby, making transportation convenient and hassle-free. Overall, this apartment in Mirpur is an excellent choice for those seeking a luxurious living experience, surrounded by top-notch area amenities and excellent connectivity."
